CUI,STR
C0338679,"Nondependent antidepressant type drug abuse, episodic"
C0338680,Nondependent antidepressant type drug abuse in remission
C0338682,"Nondependent amphetamine or psychostimulant abuse, continuous"
C0338683,"Nondependent amphetamine or psychostimulant abuse, episodic"
C0338684,Nondependent amphetamine or psychostimulant abuse in remission
C0338686,Nondependent cocaine abuse
C0338687,"Nondependent cocaine abuse, continuous"
C0338688,"Nondependent cocaine abuse, episodic"
C0338689,Nondependent cocaine abuse in remission
C0338690,Nondependent opioid abuse
C0338691,"Nondependent opioid abuse, continuous"
C0338692,"Nondependent opioid abuse, episodic"
C0338693,Nondependent opioid abuse in remission
C0338694,Nondependent hypnotic or anxiolytic abuse
C0338695,"Nondependent hypnotic or anxiolytic abuse, continuous"
C0338696,"Nondependent hypnotic or anxiolytic abuse, episodic"
C0338697,Nondependent hypnotic or anxiolytic abuse in remission
C0338699,Hypnotic or anxiolytic abuse
C0338701,Nondependent hallucinogen abuse
C0338702,"Nondependent hallucinogen abuse, continuous"
C0338703,"Nondependent hallucinogen abuse, episodic"
C0338704,Nondependent hallucinogen abuse in remission
C0338705,Nondependent cannabis abuse
C0338706,"Nondependent cannabis abuse, continuous"
C0338707,"Nondependent cannabis abuse, episodic"
C0338708,Nondependent cannabis abuse in remission
C0338709,Nondependent alcohol abuse
C0338710,"Nondependent alcohol abuse, continuous"
C0338711,"Nondependent alcohol abuse, episodic"
C0338712,Nondependent alcohol abuse in remission
C0338714,Drug-induced personality disorder
C0338715,Drug-induced depressive state
C0338724,"Tobacco dependence, continuous"
C0338725,"Tobacco dependence, episodic"
C0338726,Tobacco dependence in remission
C0338728,"Combined drug dependence, excluding opioids"
C0338730,"Combined drug dependence, excluding opioid, continuous"
C0338731,"Combined drug dependence, excluding opioid, episodic"
C0338732,"Combined drug dependence, excluding opioid, in remission"
C0338734,Combined opioid with other drug dependence
C0338735,"Combined opioid with other drug dependence, continuous"
C0338736,"Combined opioid with other drug dependence, episodic"
C0338737,Combined opioid with other drug dependence in remission
C0338741,Absinthe addiction
C0338742,Glue sniffing dependence
C0338743,"Glue sniffing dependence, continuous"
C0338744,"Glue sniffing dependence, episodic"
C0338745,Glue sniffing dependence in remission
C0338746,Lysergic acid diethylamide dependence
C0338747,Mescaline dependence
C0338749,"Hallucinogen dependence, continuous"
C0338750,"Hallucinogen dependence, episodic"
C0338753,"Amphetamine or psychostimulant dependence, continuous"
C0338754,"Amphetamine or psychostimulant dependence, episodic"
C0338755,Amphetamine or psychostimulant dependence in remission
C0338757,"Cannabis dependence, continuous"
C0338758,"Cannabis dependence, episodic"
C0338762,"Cocaine dependence, continuous"
C0338763,"Cocaine dependence, episodic"
C0338766,Anxiolytic dependence
C0338767,Barbiturate dependence
C0338768,Benzodiazepine dependence
C0338769,Diazepam dependence
C0338770,Chlordiazepoxide dependence
C0338771,Hypnotic or anxiolytic dependence
C0338772,"Hypnotic or anxiolytic dependence, continuous"
C0338773,"Hypnotic or anxiolytic dependence, episodic"
C0338774,Hypnotic or anxiolytic dependence in remission
C0338776,Methadone dependence
C0338777,Opium dependence
C0338779,Continuous opioid dependence
C0338780,Episodic opioid dependence
C0338781,Opioid dependence in remission
C0338783,Chronic alcoholism in remission
C0338784,Episodic chronic alcoholism
C0338785,Continuous chronic alcoholism
C0338787,Continuous acute alcoholic intoxication in alcoholism
C0338788,Episodic acute alcoholic intoxication in alcoholism
C0338789,Controlled drug dependence
C0338790,Active drug dependence
C0338791,Psychoactive substance-induced withdrawal syndrome
C0338793,Psychosis with origin in childhood
C0338794,Borderline psychosis of childhood
C0338795,Atypical childhood psychoses
C0338807,Cenesthopathic schizophrenia
C0338808,Post-schizophrenic depression
C0338810,Subchronic latent schizophrenia
C0338811,Chronic latent schizophrenia
C0338812,Acute exacerbation of subchronic latent schizophrenia
C0338813,Acute exacerbation of chronic latent schizophrenia
C0338817,Persistent delusional disorder
C0338818,Morbid jealousy
C0338819,Paranoia querulans
C0338821,Acute polymorphic psychotic disorder
C0338822,Cycloid psychosis
C0338824,Subchronic schizoaffective schizophrenia
C0338825,Chronic schizoaffective schizophrenia
C0338828,Schizoaffective schizophrenia in remission
C0338830,Rebound mood swings
C0338831,Mania
C0338832,Recurrent manic episodes
C0338834,"Recurrent manic episodes, mild"
C0338835,"Recurrent manic episodes, moderate"
C0338837,"Recurrent manic episodes, severe, with psychosis"
C0338839,"Recurrent manic episodes, in full remission"
C0338840,"Single manic episode, mild"
C0338841,"Single manic episode, moderate"
C0338842,"Single manic episode, severe, with psychosis"
C0338844,Single manic episode in full remission
C0338846,Manic stupor
C0338860,"Mixed bipolar affective disorder, mild"
C0338861,"Mixed bipolar affective disorder, moderate"
C0338863,"Mixed bipolar affective disorder, severe, with psychosis"
C0338866,"Bipolar affective disorder, currently depressed, mild"
C0338867,"Bipolar affective disorder, currently depressed, moderate"
C0338871,"Bipolar affective disorder, currently depressed, in full remission"
C0338873,"Bipolar affective disorder, current episode manic"
C0338875,"Bipolar affective disorder, currently manic, mild"
C0338876,"Bipolar affective disorder, currently manic, moderate"
C0338878,"Bipolar affective disorder, currently manic, severe, with psychosis"
C0338880,"Bipolar affective disorder, currently manic, in full remission"
C0338885,"Single major depressive episode, severe, with psychosis"
C0338890,"Recurrent major depressive episodes, moderate"
C0338892,"Recurrent major depressive episodes, severe, with psychosis"
C0338895,Endogenous depression first episode
C0338897,Masked depression
C0338899,Poor insight into neurotic condition
C0338900,Psychasthenic neurosis
C0338902,Writer's cramp neurosis
C0338903,"Social phobia, fear of public washing"
C0338904,"Social phobia, fear of public speaking"
C0338905,"Social phobia, fear of eating in public"
C0338906,Needle phobia
C0338908,Mixed anxiety and depressive disorder
C0338909,Anxiety hysteria
C0338910,Stress and adjustment reaction
C0338911,Stress reaction causing mixed disturbance of emotion and conduct
C0338912,Acute fugue state due to acute stress reaction
C0338913,Acute stupor state due to acute stress reaction
C0338914,Acute panic state due to acute stress reaction
C0338916,Acute post-trauma stress state
C0338917,Concentration camp syndrome
C0338918,Early adult emancipation disorder
C0338919,Elective mutism due to an adjustment reaction
C0338922,Adjustment reaction with aggression
C0338923,Adjustment reaction with antisocial behavior
C0338924,Adjustment reaction with destructiveness
C0338927,Hospitalism
C0338930,Acute hysterical psychosis
C0338931,Psychogenic symptom of special sense organ
C0338932,Psychogenic endocrine malfunction
C0338933,Psychogenic genitourinary tract symptoms
C0338934,Psychosomatic musculoskeletal symptoms
C0338938,Hypochondriacal pain
C0338939,Somatoform autonomic dysfunction
C0338941,Somatoform autonomic dysfunction - gastrointestinal tract
C0338942,Psychogenic dyspepsia
C0338944,Globus abdominalis
C0338945,Somatoform autonomic dysfunction - respiratory tract
C0338946,Psychogenic cough
C0338947,Psychogenic hiccough
C0338948,Psychogenic yawning
C0338952,Depersonalization-derealization syndrome
C0338953,Non-organic loss of appetite
C0338953,Psychogenic loss of appetite
C0338954,Non-organic infant feeding disturbance
C0338955,Weight fixation
C0338959,Atypical anorexia nervosa
C0338960,Atypical bulimia nervosa
C0338963,Interictal behavior disorder
C0338964,Eccentric personality disorder
C0338965,Immature personality disorder
C0338966,Manipulative personality disorder
C0338967,Hypomanic personality disorder
C0338968,Fanatic personality
C0338969,Introverted personality disorder
C0338970,Emotionally unstable personality disorder
C0338971,Psychoinfantile personality
C0338972,Post-concussional personality disorder
C0338976,Educationally subnormal
C0338980,Disorder of speech and language development
C0338984,Residual infantile autism
C0338985,Active infantile autism
C0338986,Atypical autism
C0338987,Residual disintegrative psychoses
C0338988,Active disintegrative psychoses
C0338990,Behavioral and emotional disorder with onset in childhood
C0338991,Academic underachievement disorder
C0338994,Childhood and adolescent disturbance with sensitivity
C0338995,Childhood and adolescent disturbance with shyness
C0338996,Misery and unhappiness reaction of childhood
C0338997,Disturbance of anxiety and fearfulness in childhood and adolescence
C0338998,Childhood and adolescent fearfulness disturbance
C0338999,Adolescent - emotional problem
C0339001,Hyperkinesis with developmental delay
C0339002,"Attention deficit hyperactivity disorder, predominantly inattentive type"
C0339004,Hyperkinetic conduct disorder
C0339005,"Conduct disorder, childhood-onset type"
C0339009,Conduct disorder - in family context
C0339010,Conduct disorder - unsocialized
C0339011,Group delinquency
C0339012,Neurotic delinquency
C0339014,Nonaggressive unsocial conduct disorder
C0339015,Aggressive unsocial conduct disorder
C0339016,Childhood disorder of conduct and emotion
C0339017,Depressive conduct disorder
C0339058,Entropion and trichiasis of eyelid
C0339063,Cellulitis of eyelid
C0339065,Posterior lid margin disease
C0339067,Sarcoid skin of eyelid
C0339068,Rosacea of skin of eyelid
C0339069,Infective dermatitis of eyelid
C0339070,Bacterial dermatitis of eyelid
C0339071,Impetigo of eyelid
C0339072,Viral dermatitis of eyelid
C0339073,Fungal dermatitis of eyelid
C0339075,Entropion from focal conjunctival scarring
C0339076,Ectropion from focal conjunctival scarring
C0339078,Senile blepharophimosis
C0339079,Spastic blepharophimosis
C0339080,Cicatricial blepharophimosis
C0339083,Aponeurotic ptosis
C0339084,Floppy lid syndrome
C0339085,Ascher's syndrome
C0339097,Retained foreign body of eyelid
C0339104,Moll's gland cyst
C0339107,Benign tumor of eyelid
C0339107,Benign neoplasm of skin of eyelid
C0339108,Squamous cell papilloma of eyelid
C0339109,Seborrheic keratosis of eyelid
C0339110,Capillary hemangioma of eyelid
C0339112,Bowen's disease of eyelid
C0339113,Squamous cell carcinoma of eyelid
C0339114,Basal cell carcinoma of eyelid
C0339115,Sebaceous adenocarcinoma of eyelid
C0339116,Malignant melanoma of eyelid
C0339117,Kaposi's sarcoma of eyelid
C0339119,Atrophy of lacrimal gland
C0339120,Senile atrophy of lacrimal gland
C0339124,Neoplasm of lacrimal gland
C0339126,Complete obstruction of lacrimal punctum
C0339127,Complete obstruction of lacrimal canaliculus
C0339128,Insufficiency of lacrimal sac
C0339129,Acute inflammation of lacrimal passages
C0339130,Acute lacrimal canaliculitis
C0339131,Chronic dacryocystitis with fistula formation
C0339136,Cyst of lacrimal passages
C0339137,Orbital thrombophlebitis
C0339138,Acute orbital myositis
C0339140,Chronic orbital myositis
C0339141,Exophthalmos due to orbital hemorrhage
C0339143,Thyroid eye disease
C0339147,Local orbit deformity associated with bone disorder
C0339148,Displacement of orbit
C0339152,Orbital emphysema
C0339155,Orbital varix
C0339159,Serous conjunctivitis
C0339160,Acute mucopurulent conjunctivitis
C0339163,Rosacea blepharoconjunctivitis
C0339164,Seasonal allergic conjunctivitis
C0339165,Perennial allergic conjunctivitis
C0339166,Gonococcal conjunctivitis neonatorum
C0339166,Gonococcal conjunctivitis
C0339170,Fungal conjunctivitis
C0339175,Factitious conjunctivitis
C0339186,Conjunctival lymphangiectasis
C0339188,Episcleral and scleral disorder
C0339192,Simple episcleritis
C0339194,Nodular scleritis
C0339196,Non-pyogenic granulomatous scleritis
C0339206,Anterior staphyloma
C0339207,Ciliary staphyloma
C0339208,Intercalary staphyloma
C0339214,Infective corneal ulcer
C0339215,Bacterial corneal ulcer
C0339216,Viral corneal ulcer
C0339218,Protozoal corneal ulcer
C0339219,Inflammatory corneal ulcer
C0339222,Dystrophic corneal ulcer
C0339223,Neuropathic corneal ulcer
C0339226,Tuberculous keratoconjunctivitis
C0339228,Dendriform epithelial keratoconjunctivitis
C0339229,Superior limbic keratoconjunctivitis
C0339230,Diffuse stromal keratoconjunctivitis
C0339231,Keratoconjunctivitis nodosa
C0339233,Keratitis due to syphilis
C0339234,Keratitis due to tuberculosis
C0339235,Disciform keratitis
C0339236,Lipid keratopathy
C0339237,Infectious crystalline keratopathy
C0339247,Stromal pigmentation
C0339263,Pseudophakic corneal edema
C0339269,Crocodile shagreen of cornea
C0339271,Salzmann nodular dystrophy
C0339273,Gelatinous droplike corneal dystrophy
C0339277,Meesman's corneal dystrophy
C0339278,Reis-Bucklers' corneal dystrophy
C0339284,Polymorphous corneal dystrophy
C0339286,Acute hydrops keratoconus
C0339295,Exposure keratoconjunctivitis
C0339296,Neurotrophic keratitis
C0339299,Welders' keratitis
C0339303,Corneal graft rejection
C0339304,Neoplasm of cornea
C0339310,Iritis due to diabetes mellitus
C0339315,Idiopathic anterior uveitis
C0339317,Non-infectious anterior uveitis
C0339320,Lens-induced iridocyclitis
C0339324,Spontaneous hyphema
C0339349,Neoplasm of ciliary body
C0339352,Capsular cataract
C0339369,Cataract in systemic disorders
C0339370,Cataract in hypoparathyroidism
C0339371,Malnutrition-dehydration cataract
C0339372,Disorder of lens capsule
C0339383,Chorioretinal disorder
C0339391,Peripheral focal retinochoroiditis
C0339392,Juxtapapillary focal chorioretinitis
C0339393,Paramacular focal retinitis AND retinochoroiditis
C0339394,Peripheral focal choroiditis AND chorioretinitis
C0339396,Disseminated posterior pole chorioretinitis
C0339397,Disseminated peripheral chorioretinitis
C0339398,General disseminated chorioretinitis
C0339399,Metastatic disseminated retinitis
C0339400,Pigmented epithelial disseminated retinitis
C0339404,Diffuse unilateral subacute neuroretinitis
C0339405,Retinal pigment epitheliitis
C0339406,Viral retinitis
C0339408,Rubella retinopathy
C0339409,Bacterial chorioretinitis
C0339410,Tuberculous chorioretinitis
C0339411,Fungal choroiditis
C0339411,Fungal chorioretinitis
C0339412,Candida retinitis
C0339413,Parasitic choroiditis
C0339415,Onchocerca chorioretinitis
C0339416,Pneumocystis jirovecii choroiditis
C0339417,Toxocara chorioretinitis
C0339427,Partial central choroid dystrophy
C0339432,Uveal effusion syndrome
C0339433,Chorioretinal rupture
C0339434,Choroidal effusion
C0339436,Degeneration of macula and posterior pole
C0339443,Snowflake retinal degeneration
C0339462,Macular retinoschisis
C0339467,Proliferative retinopathy
C0339468,Anterior proliferative vitreoretinopathy
C0339469,Posterior proliferative vitreoretinopathy
C0339470,Visually threatening diabetic retinopathy
C0339471,Disorder of macula due to diabetes mellitus
C0339472,Advanced maculopathy due to diabetes mellitus
C0339473,Preproliferative retinopathy due to diabetes mellitus
C0339474,Proliferative retinopathy with optic disc neovascularization due to diabetes mellitus
C0339475,Proliferative retinopathy with neovascularization elsewhere than the optic disc due to diabetes mellitus
C0339476,Traction detachment of retina due to diabetes mellitus
C0339477,Lipidemia retinalis
C0339478,Arteriosclerotic retinopathy
C0339479,Renal retinopathy
C0339480,Parafoveal telangiectasia
C0339491,Sickle cell retinopathy
C0339492,Proliferative retinopathy due to sickle cell disease
C0339493,Sickle cell-hemoglobin C retinopathy
C0339494,Central serous retinopathy with pit of optic disc
C0339495,Cilioretinal artery occlusion
C0339497,Central retinal vein occlusion with neovascularization
C0339510,Vitelliform dystrophy
C0339510,Best vitelliform macular dystrophy
C0339527,Leber's amaurosis
C0339530,Progressive cone-rod dystrophy
C0339531,Progressive rod dystrophy
C0339534,Usher syndrome type 2
C0339541,Goldmann-Favre syndrome
C0339542,Retinal incarceration
C0339546,Retinal pigment epithelial detachment
C0339547,Retinal pigment epithelial detachment with vascularization
C0339548,Retinal pigment epithelial detachment with tear of retinal pigment epithelium
C0339551,Occult neovascularization of macula
C0339554,Astrocytoma of retina
C0339554,Intraocular optic nerve glioma
C0339556,Lymphoma of retina
C0339560,Hyalitis punctata
C0339562,Amyloid of vitreous
C0339563,Empty vitreous
C0339564,Intraocular foreign body in vitreous
C0339567,Glaucoma due to systemic syndrome
C0339573,Primary open angle glaucoma
C0339575,Plateau iris
C0339576,Glaucoma due to combination of mechanisms
C0339577,Iatrogenic glaucoma
C0339578,Corticosteroid-induced glaucoma
C0339579,Steroid-induced glaucoma glaucomatous stage
C0339581,Iatrogenic angle-closure glaucoma
C0339582,Glaucoma due to chamber angle anomaly
C0339585,Glaucoma due to ocular vascular disorder
C0339586,Glaucoma due to ocular tumor or cyst
C0339587,Glaucoma and corneal anomaly
C0339588,Glaucoma due to iris anomaly
C0339590,Phacomorphic glaucoma
C0339591,Glaucoma with intraocular hemorrhage
C0339592,Ghost cell glaucoma
C0339593,Glaucoma associated with ocular inflammation
C0339594,Glaucoma associated with ocular trauma
C0339596,Glaucoma with increased episcleral venous pressure
C0339597,Glaucoma following surgery
C0339598,Secondary angle-closure glaucoma with pupillary block
C0339599,Visual pathway disorder due to neoplasm
C0339600,Visual pathway disorder due to vascular disorder
C0339606,Disorder of optic chiasm due to pituitary disorder
C0339607,Disorder of optic chiasm due to non-pituitary neoplasm
C0339611,Monofixation syndrome
C0339615,Monocular esotropia with X pattern
C0339616,Monocular esotropia with Y pattern
C0339617,Alternating esotropia with X pattern
C0339618,Alternating esotropia with Y pattern
C0339619,Infantile esotropia
C0339620,Esotropia with dissociated vertical deviation
C0339621,Esotropia with nystagmus
C0339622,Esotropia with nystagmus block
C0339623,Nonaccommodative esotropia
C0339623,Primary esotropia
C0339624,Secondary esotropia
C0339625,Consecutive esotropia
C0339626,Residual esotropia
C0339629,Fully accommodative esotropia
C0339630,Partially accommodative esotropia
C0339631,Monocular exotropia with X pattern
C0339632,Monocular exotropia with Y pattern
C0339633,Alternating exotropia with X pattern
C0339634,Alternating exotropia with Y pattern
C0339635,Primary exotropia
C0339636,Secondary exotropia
C0339637,Consecutive exotropia
C0339638,Residual exotropia
C0339639,Alternating hypertropia
C0339640,Dissociated vertical deviation
C0339643,Double elevator palsy
C0339644,Double depressor palsy
C0339648,Strabismus fixus
C0339649,Vertical retraction syndrome
C0339650,Secondary mechanical strabismus
C0339651,Horizontal gaze palsy
C0339652,Vertical gaze palsy
C0339653,Dissociated gaze palsy
C0339654,Vertical dissociated gaze palsy
C0339655,Anomaly of vergence system
C0339656,Convergence palsy
C0339657,Convergence spasm
C0339659,Mydriasis innervational defect
C0339660,Light near dissociated pupil
C0339668,Toxic disorder of refraction AND/OR accommodation
C0339670,Disorder of refraction AND/OR accommodation
C0339671,Simple hypermetropia
C0339672,Latent hypermetropia
C0339673,Manifest hypermetropia
C0339674,Pathological hypermetropia
C0339675,Axial hypermetropia
C0339676,Curvature hypermetropia
C0339677,Index hypermetropia
C0339678,Simple myopia
C0339681,Index myopia
C0339682,Regular astigmatism - corneal
C0339683,Regular astigmatism - lenticular
C0339684,Irregular astigmatism - corneal
C0339685,Irregular astigmatism - lenticular
C0339687,Accommodative insufficiency
C0339689,Infective paralysis of accommodation
C0339690,Functional paralysis of accommodation
C0339692,Pharmacological paralysis of accommodation
C0339696,Anisometropic amblyopia
C0339699,Abnormal rod or cone threshold
C0339700,Delayed rod or cone adaption
C0339731,Charles Bonnet syndrome
C0339741,Partial sight - both eyes
C0339752,Abscess of external ear
C0339759,Acute infective otitis externa
C0339761,Aspergillus otomycosis
C0339763,Eczema of external auditory canal
C0339765,Polyp of external auditory meatus
C0339769,Tympanic atelectasis
C0339774,Acute mastoiditis with neck abscess
C0339783,Endocochlear cytomegalovirus infection
C0339784,Endocochlear rubella
C0339785,Lyme disease of inner ear
C0339790,Tumor of middle ear and mastoid
C0339793,Acute irritant rhinitis
C0339794,Chronic catarrhal rhinitis
C0339795,Chronic membranous rhinitis
C0339796,Chronic fibrinous rhinitis
C0339797,Chronic simple rhinitis
C0339798,Chronic infective rhinitis
C0339799,Chronic hypertrophic rhinitis
C0339800,Rhinitis sicca
C0339801,Chronic ulcerative rhinitis
C0339802,Rhinitis caseosa
C0339804,Non-infective non-allergic rhinitis
C0339805,Allergy to cat dander
C0339807,Allergy to house dust
C0339808,Allergy to dust mite protein
C0339812,Perennial allergic rhinitis with seasonal variation
C0339814,Frontal sinus polyp
C0339815,Anterior epistaxis
C0339816,Posterior epistaxis
C0339817,Traumatic epistaxis
C0339820,Disorder of nasal cavity
C0339821,Concha bullosa
C0339822,Adhesions of nasal cavity
C0339824,Abscess of nasal cavity
C0339825,Nasal vestibulitis
C0339826,Papilloma of nasal vestibule
C0339827,Vestibular stenosis
C0339828,Alar collapse
C0339830,Nasal syphilis
C0339831,Nasal sarcoidosis
C0339832,Granulomatosis with polyangiitis of nose
C0339836,Hemorrhage from adenoid bed
C0339837,Nasopharyngeal stenosis
C0339839,Choanal atresia with CHARGE association
C0339841,Dislocated nasal septum
C0339842,Nasal septal hematoma
C0339846,Traumatic nasal septal perforation
C0339847,Disorder of external nose
C0339852,Nasal dermoid
C0339856,Tumor of nasal cavity and nasopharynx
C0339857,Acute herpes simplex pharyngitis
C0339858,Acute herpes zoster pharyngitis
C0339859,Meningococcal pharyngitis
C0339860,Acute pharyngeal candidiasis
C0339861,Chronic ulcerative pharyngitis
C0339862,Chronic pharyngeal candidiasis
C0339866,Acute gangrenous tonsillitis
C0339867,Vincent's tonsillitis
C0339868,Recurrent acute tonsillitis
C0339869,Tonsil disease - chronic
C0339872,Acute catarrhal laryngitis
C0339873,Vincent's laryngitis
C0339874,Acute membranous laryngitis
C0339875,Acute subglottic laryngitis
C0339876,Acute laryngotracheitis without obstruction
C0339877,Acute tracheitis without obstruction
C0339879,Fibrinous chorditis
C0339880,Cyst of larynx
C0339882,Laryngeal amyloidosis
C0339883,Granulomatosis with polyangiitis of larynx
C0339900,Respiratory complications of care
C0339901,Acute respiratory infections
C0339904,Lung disease with systemic sclerosis
C0339905,Lung involvement associated with another disorder
C0339906,Lung disease with polymyositis
C0339907,Lung disease with Sjögren's disease
C0339908,Lung disease with systemic lupus erythematosus
C0339916,Viral upper respiratory tract infection
C0339922,Acute fibrinous bronchitis
C0339925,Acute purulent bronchitis
C0339927,Subacute bronchitis
C0339929,Acute pneumococcal bronchitis
C0339931,Acute haemophilus influenzae bronchitis
C0339932,Acute Moraxella catarrhalis bronchitis
C0339933,Acute bacterial bronchitis
C0339934,Acute mycoplasmal bronchitis
C0339935,Acute chlamydial bronchitis
C0339937,Acute viral bronchitis
C0339939,Acute exudative bronchiolitis
C0339941,Acute viral bronchiolitis
C0339942,Acute bronchiolitis due to adenovirus
C0339946,Pulmonary tularemia
C0339949,Nocardial pneumonia
C0339950,Toxoplasma pneumonitis
C0339950,Pneumonitis due to acquired toxoplasmosis
C0339952,Secondary bacterial pneumonia
C0339955,Actinomycotic pneumonia
C0339956,Pneumonia in typhoid fever
C0339957,Meningococcal pneumonia
C0339959,Pneumonia caused by Chlamydiaceae
C0339960,Neonatal chlamydial pneumonia
C0339961,Fungal pneumonia
C0339962,Pulmonary mucormycosis
C0339963,Chronic pulmonary coccidioidomycosis
C0339964,Pulmonary blastomycosis
C0339965,Hemorrhagic pneumonia
C0339967,Mycobacterial pneumonia
C0339968,Neonatal pneumonia
C0339969,Pneumonia due to parasitic infestation
C0339971,Chickenpox pneumonia
C0339973,Infectious mononucleosis pneumonia
C0339974,Mononuclear interstitial pneumonia
C0339975,Herpes simplex pneumonia
C0339976,Pneumonia due to measles
C0339978,Single lung abscess
C0339979,Multiple lung abscesses
C0339982,Recurrent bronchiectasis
C0339983,Congenital cystic bronchiectasis
C0339984,Acquired bronchiectasis
C0339985,Idiopathic bronchiectasis
C0339986,Obstructive bronchiectasis
C0339987,Toxin-induced bronchiectasis
C0339988,Bronchiectasis due to toxic aspiration
C0339989,Bronchiectasis due to toxic inhalation
C0339990,Post-infective bronchiectasis
C0339991,Post-lung transplantation bronchiectasis
C0339994,Pleurisy without effusion or active tuberculosis
C0339995,Basal pleurisy
C0339996,Sterile pleurisy
C0339997,Asbestos pleurisy
C0339998,Drug-induced pleurisy
C0339999,Dry pleurisy
C0340000,Acute dry pleurisy
C0340001,Chronic dry pleurisy
C0340004,Benign asbestos pleural effusion
C0340005,Drug-induced pleural effusion
C0340007,Catamenial pneumothorax
C0340013,Loculated empyema
C0340015,Malignant chylothorax
C0340016,Traumatic chylothorax
C0340017,Tuberculous chylothorax
C0340018,Pseudochylothorax
C0340019,Intralipid pseudochylous effusion
C0340021,Endometriosis of pleura
C0340024,Asbestos-induced pleural fibrosis
C0340025,Asbestos-induced pleural plaque
C0340026,Asbestos-induced bilateral diffuse pleural thickening
C0340027,Post-infective pleural fibrosis
C0340028,Post-tuberculous pleural fibrosis
C0340030,Pleural plaque
C0340031,Mucociliary clearance defect
C0340032,Inherited mucociliary clearance defect
C0340034,Primary ciliary dyskinesia due to transposition of ciliary microtubules
C0340035,Immotile cilia syndrome due to defective radial spokes
C0340036,Immotile cilia syndrome due to excessively long cilia
C0340037,Young's syndrome
C0340038,Rutland ciliary disorientation syndrome
C0340039,Acquired mucociliary clearance defect
C0340040,Secondary ciliary dyskinesia
C0340041,Transient mucociliary clearance defect
C0340044,Acute exacerbation of chronic obstructive airways disease
C0340045,Byssinosis grade 3
C0340046,Toxic bronchiolitis obliterans
C0340047,Drug-induced bronchiolitis obliterans
C0340049,Atrophic (senile) emphysema
C0340050,Pulmonary emphysema in alpha-1 PI deficiency
C0340051,Toxic emphysema
C0340052,Chronic emphysema due to chemical fumes
C0340054,Bullous emphysema with collapse
C0340055,Segmental bullous emphysema
C0340056,Zonal bullous emphysema
C0340057,Scar emphysema
C0340061,Acute exacerbation of allergic asthma
C0340066,Acute exacerbation of intrinsic asthma
C0340067,Drug-induced asthma
C0340069,Colophony asthma
C0340070,Millers' asthma
C0340071,Sulfite-induced asthma
C0340073,Factitious asthma
C0340074,Postoperative atelectasis
C0340076,Asthmatic pulmonary eosinophilia
C0340083,Dog house disease
C0340084,Dry rot lung
C0340085,Lycoperdonosis
C0340086,New Guinea lung
C0340087,Paprika splitters' lung
C0340088,Pituitary snuff-takers' disease
C0340089,Pyrethrum alveolitis
C0340090,Rodent handlers' lung
C0340091,Sewage workers' lung
C0340092,Summer-type hypersensitivity pneumonitis
C0340093,Vinyard sprayers' lung
C0340094,Asthma caused by wood dust
C0340098,Neurogenic pulmonary edema
C0340099,Drug-induced acute pulmonary edema
C0340100,High altitude pulmonary edema
C0340101,Post-upper airway obstruction pulmonary edema
C0340102,Toxic pulmonary edema
C0340103,Chemical-induced pulmonary edema
C0340105,Oxygen-induced pulmonary edema
C0340106,Fluid overload pulmonary edema
C0340107,Uremic lung
C0340109,Seasonal cryptogenic organizing pneumonia with biochemical cholestasis
C0340111,Idiopathic diffuse pulmonary ossification
C0340112,Diffuse pulmonary calcinosis
C0340113,Micronodular pulmonary ossification
C0340114,Diffuse pulmonary neurofibromatosis
C0340115,Pulmonary tuberous sclerosis
C0340116,Lymphangioleiomyomatosis of skin
C0340118,Pulmonary lipid storage disease
C0340124,Chronic pulmonary fibrosis due to chemical fumes
C0340126,Fibrosis of lung caused by radiation
C0340127,Localized pulmonary fibrosis
C0340128,Mediastinal radiation fibrosis
C0340130,Bronchitis and pneumonitis due to chemical fumes
C0340135,Acute pulmonary radiation disease
C0340136,Chronic pulmonary radiation disease
C0340139,Lung disease due to external agents
C0340142,Lupus pneumonia
C0340145,Pneumonitis due to inhalation of regurgitated food
C0340150,Mendelson's syndrome resulting from a procedure
C0340151,Mendelson's syndrome as a complication of care
C0340152,Acute pneumonitis due to chemical fumes
C0340154,Acute mediastinitis
C0340155,Infectious fibrous mediastinitis
C0340156,Familial fibrous mediastinitis
C0340157,Granulomatous mediastinitis
C0340158,Infectious granulomatous mediastinitis
C0340159,Drug-induced granulomatous mediastinitis
C0340160,Pulmonary hyalinizing granuloma
C0340162,Mediastinal lymph node sarcoidosis
C0340163,Hilar lymph node sarcoidosis
C0340164,Lofgrens syndrome
C0340164,Bilateral hilar adenopathy syndrome
C0340166,Traumatic rupture of diaphragm
C0340168,Diaphragmatic trichiniasis
C0340169,Simple pneumoconiosis
C0340170,Complicated pneumoconiosis
C0340172,Fullers' earth disease
C0340174,Erionite pneumoconiosis
C0340175,Metal pneumoconiosis
C0340176,Silver polishers' lung disease
C0340177,Baritosis
C0340178,Subacute berylliosis
C0340179,Cerium pneumoconiosis
C0340180,Nickel pneumoconiosis
C0340181,Thorium pneumoconiosis
C0340182,Zirconium pneumoconiosis
C0340183,Mica pneumoconiosis
C0340184,Mixed mineral dust pneumoconiosis
C0340185,Liparitosis
C0340186,Schistosis
C0340187,Diatomaceous earth disease
C0340190,Acute silicosis
C0340191,Subacute silicosis
